layer_height,wall_thickness,infill_density,nozzle_temperature,Bed_temperature,Print_speed,Material,Fan_speed,Tensile_strength
0.02,8,90,220,60,40,1,0,18
0.33,1.6,35,220,110,52.5,1,100,15.26666667
0.2,9,90,225,65,40,1,25,34
0.15,4,50,220,60,60,1,0,27
0.1,1.6,50,225,110,30,0,100,10.12222222
0.05,6,10,245,75,85,1,75,5
0.3,0.8,50,240,95,30,0,100,15.31111111
0.3,0.8,50,240,80,65,0,100,14.17777778
0.1,1.6,50,205,80,40,1,100,13.56666667
0.2,1.2,35,232.5,110,47.5,0,100,15.15555556
0.09,8,60,210,70,60,0,50,26
0.15,1,50,240,75,60,1,75,9
0.02,8,90,250,100,40,1,100,5
0.215,1.2,35,205,80,52.5,1,100,14.41111111
0.06,2,20,225,65,60,1,25,12
0.215,1.2,35,205,80,40,1,100,14.44444444
0.215,1.2,35,205,80,52.5,1,100,14.41111111
0.2,1.2,35,232.5,95,47.5,0,100,15.15555556
0.02,9,70,215,75,40,0,75,27
0.1,0.8,50,225,110,30,0,100,10.12222222
0.2,4,80,220,60,40,1,0,35
0.02,6,10,205,65,40,0,25,12
0.3,0.8,20,225,80,30,0,100,13.65555556
0.06,9,10,200,75,80,1,75,9
0.15,7,80,250,80,60,1,100,13
0.1,0.8,50,240,110,30,0,100,9.933333333
0.06,3,40,205,65,60,0,25,23
0.06,6,10,240,75,60,1,75,9
0.2,1.2,35,225,95,47.5,0,100,15.16666667
0.33,1.6,50,220,95,52.5,1,100,15.63333333
0.03,10,20,220,60,60,1,0,37
0.2,5,60,200,60,40,0,0,28
0.3,1.6,20,240,110,30,0,100,14.12222222
0.2,6,90,240,75,40,1,75,28
0.215,1.6,50,220,80,40,1,100,15.03333333
0.15,7,10,225,65,60,1,25,19
0.1,1,50,200,60,120,0,0,11
0.2,1.2,35,232.5,95,47.5,0,100,15.15555556
0.1,1.2,35,232.5,110,30,0,100,10
0.04,2,80,230,70,40,1,50,12
0.15,1,10,220,80,60,0,100,4
0.02,4.5,70,240,85,40,1,75,10
0.15,3,10,225,65,70,1,25,19
0.02,10,40,200,60,40,0,0,24
0.15,3,85,220,60,60,0,0,33
0.06,8,30,210,70,60,0,50,26
0.2,5,60,210,70,40,0,50,30
0.1,1.6,50,190,110,52.5,1,100,14.04444444
0.1,6,80,250,75,120,1,75,19
0.215,1.2,35,205,95,52.5,1,100,15
0.2,1.2,20,232.5,95,47.5,0,100,13.56666667
0.1,1,50,230,70,120,1,50,10
0.215,1.2,35,205,110,52.5,1,100,15
0.06,10,90,200,60,60,0,0,27
0.02,4,70,240,75,40,1,75,10
0.3,1.6,20,240,95,30,0,100,14.12222222
0.2,1.6,35,225,95,30,0,100,15.16666667
0.03,8,90,220,60,40,1,0,18
0.1,0.8,50,240,110,30,0,100,9.933333333
0.02,7,90,225,65,40,1,25,16
0.02,6,90,250,80,40,1,100,5
0.1,0.8,50,205,95,52.5,1,100,14.33333333
0.2,7,40,215,75,40,0,75,29
0.15,7,50,230,70,60,1,50,18
0.15,10,30,210,70,60,0,50,26
0.1,3,50,210,70,120,0,50,18
0.1,1.6,50,240,80,47.5,0,100,9.755555556
0.33,0.8,50,190,95,40,1,100,15.57777778
0.15,6,50,230,70,60,1,50,18
0.215,0.8,50,205,110,52.5,1,100,15.68888889
0.1,1.6,20,240,110,65,0,100,9.166666667
0.215,1.2,35,205,95,52.5,1,100,15
0.3,1.6,20,240,80,30,0,100,14.12222222
0.1,0.8,50,205,80,65,1,100,13.66666667
0.02,8,40,220,80,40,0,100,25
0.215,0.8,50,205,95,52.5,1,100,15.68888889
0.215,1.2,35,205,95,52.5,1,100,15
0.215,1.6,20,220,95,52.5,1,100,11.48888889
0.15,3,80,200,60,60,0,0,33
0.33,1.2,35,190,95,40,1,100,14.9
0.215,1.2,35,205,95,52.5,1,100,15
0.2,4,20,205,65,40,0,25,14
0.2,3,60,220,80,40,0,100,27
0.06,6,80,220,60,60,1,0,37
0.06,10,50,220,80,60,0,100,29
0.06,12,50,230,80,65,0,100,29
0.06,3,50,250,80,60,1,100,10
0.1,2,30,225,65,120,1,25,12
0.33,1.6,50,190,110,65,1,100,15.4
0.1,1,40,220,60,120,1,0,16
0.15,1,50,220,60,120,1,0,16
0.1,2,60,250,80,120,1,100,8
0.215,1.2,35,220,110,65,1,100,15.26666667
0.2,1.2,50,232.5,95,47.5,0,100,15.16666667
0.2,1.2,35,240,95,47.5,0,100,15.37777778
0.2,7,30,230,70,40,1,50,28
0.2,3,80,250,80,40,1,100,21
0.1,1.2,20,225,80,30,0,100,9.022222222
0.215,1.6,20,205,80,40,1,100,10.07777778
0.215,1.2,35,205,95,65,1,100,15
0.02,6,12,205,65,40,0,28,12
0.3,0.8,50,232.5,110,65,0,100,14.04444444
0.1,0.8,50,240,80,65,0,100,9.688888889
0.1,4,95,220,75,120,0,100,14
0.1,4,90,215,75,120,0,75,34
0.06,10,50,230,70,60,1,50,16
0.3,1.6,50,240,80,30,0,100,15.13333333
0.1,1.6,50,232.5,110,65,0,100,9.833333333
0.3,1.2,35,232.5,95,47.5,0,100,15.15555556
0.02,1,80,230,70,40,1,50,8
0.1,4,40,205,65,120,0,25,12
0.15,4,50,205,65,60,0,25,24
0.33,1.6,50,190,110,40,1,100,15.57777778
0.2,1.2,35,232.5,95,47.5,0,100,15.15555556
0.2,1.2,35,232.5,95,47.5,0,100,15.15555556
0.1,9,80,240,75,120,1,75,19
0.2,1.2,35,232.5,95,47.5,0,100,15.15555556
0.15,6,40,215,75,60,0,75,22
0.06,10,100,200,60,60,0,0,27
0.1,1.2,50,190,110,52.5,1,100,14.04444444
0.2,1.2,35,232.5,95,47.5,0,100,15.15555556
0.3,1.2,35,240,80,30,0,100,15.2
0.06,5,90,215,95,60,0,75,38
0.2,1.2,35,240,80,30,0,100,15.2
0.02,10,10,210,70,40,0,50,14
